airport,latitude,longitude
ABE,40.65236278,-75.44040167
ABI,32.41132,-99.68189722
ABQ,35.04022222,-106.6091944
ACT,31.61128833,-97.23051917
ADQ,57.74996778,-152.4938553
AKN,58.67680167,-156.6492175
ALB,42.74811944,-73.80297861
AMA,35.2193725,-101.7059272
ANC,61.17432028,-149.9961856
ATL,33.64044444,-84.42694444
AUS,30.19453278,-97.66987194
AVL,35.43619444,-82.54180556
AVP,41.33814944,-75.7242675
AZO,42.234875,-85.5520575
BDL,41.93887417,-72.68322833
BET,60.77977639,-161.8379975
BFL,35.43359806,-119.0567681
BGR,44.80744444,-68.82813889
BHM,33.56294306,-86.75354972
BIL,45.8076625,-108.5428611
BIS,46.77411111,-100.7467222
BMI,40.47798556,-88.91595278
BNA,36.12447667,-86.67818222
BOI,43.56444444,-116.2227778
BOS,42.3643475,-71.00517917
BPT,29.95083333,-94.02069444
BQN,18.49486111,-67.12944444
BRO,25.90683333,-97.42586111
BRW,71.2854475,-156.7660019
BTR,30.53316083,-91.14963444
BTV,44.47300361,-73.1503125
BUF,42.94052472,-78.73216667
BUR,34.20061917,-118.3584969
BWI,39.17540167,-76.66819833
BZN,45.77690139,-111.1530072
CAE,33.93884,-81.11953944
CAK,40.91631194,-81.44246556
CDV,60.49183389,-145.4776503
CHA,35.03526833,-85.20378778
CHS,32.89864639,-80.04050583
CID,41.88458833,-91.71087222
CLE,41.41089417,-81.84939667
CLL,30.58858944,-96.36382417
CLT,35.21401111,-80.94312583
CMH,39.99798528,-82.89188278
CMI,40.03925,-88.27805556
COS,38.80580556,-104.70025
CRP,27.77036083,-97.50121528
CRW,38.37315083,-81.59318972
CVG,39.04614278,-84.6621725
DAB,29.17991667,-81.05805556
DAL,32.84711389,-96.85177222
DAY,39.90237583,-84.219375
DBQ,42.40295944,-90.70916722
DCA,38.85208333,-77.03772222
DEN,39.85840806,-104.6670019
DFW,32.89595056,-97.0372
DLG,59.0454125,-158.5033389
DLH,46.84209028,-92.19364861
DSM,41.53493306,-93.66068222
DTW,42.21205889,-83.34883583
DUT,53.90013889,-166.5435
ELP,31.80666667,-106.3778056
ERI,42.08202139,-80.17621556
EUG,44.12326,-123.2186856
EVV,38.03799139,-87.53062667
EWR,40.69249722,-74.16866056
EYW,24.55611111,-81.75955556
FAI,64.8136775,-147.8596694
FAR,46.91934889,-96.81498889
FAT,36.77619444,-119.7181389
FAY,34.99147222,-78.88
FCA,48.31140472,-114.2550694
FLL,26.07258333,-80.15275
FNT,42.96550333,-83.74345639
FSD,43.58135111,-96.74170028
FSM,35.33659028,-94.36744111
FWA,40.97846583,-85.19514639
GEG,47.61985556,-117.5338425
GFK,47.949255,-97.17611111
GGG,32.38486111,-94.71171
GPT,30.40728028,-89.07009278
GRB,44.48507333,-88.12959
GRR,42.88081972,-85.52276778
GSO,36.09774694,-79.9372975
GSP,34.89566722,-82.21885833
GTF,47.48200194,-111.3706853
HLN,46.60681806,-111.9827503
HNL,21.31869111,-157.9224072
HOU,29.64541861,-95.27888889
HPN,41.06695778,-73.70757444
HRL,26.22850611,-97.65439389
HSV,34.6404475,-86.77310944
IAD,38.94453194,-77.45580972
IAH,29.98047222,-95.33972222
ICT,37.64995889,-97.43304583
ILE,31.08583333,-97.6865
ILM,34.27061111,-77.90255556
IND,39.71732917,-86.29438417
ISP,40.7952425,-73.10021194
ITO,19.72026306,-155.0484703
JAC,43.60732417,-110.7377389
JAN,32.31116667,-90.07588889
JAX,30.49405556,-81.68786111
JFK,40.63975111,-73.77892556
JNU,58.35496194,-134.5762764
KOA,19.73876583,-156.0456314
KTN,55.35556861,-131.71374
LAN,42.7787,-84.58735806
LAS,36.08036111,-115.1523333
LAW,34.56771444,-98.41663667
LAX,33.94253611,-118.4080744
LBB,33.66363889,-101.8227778
LEX,38.03697222,-84.60538889
LFT,30.20527972,-91.987655
LGA,40.77724306,-73.87260917
LGB,33.81772222,-118.1516111
LIH,21.97598306,-159.3389581
LIT,34.72939611,-92.22424556
LNK,40.85097222,-96.75925
LRD,27.54373861,-99.46154361
LSE,43.87937972,-91.25653778
MAF,31.94252778,-102.2019139
MBS,43.53291472,-84.07964722
MCI,39.29760528,-94.71390556
MCO,28.42888889,-81.31602778
MDT,40.19349528,-76.76340361
MDW,41.7859825,-87.75242444
MEM,35.04241667,-89.97666667
MFE,26.17583333,-98.23861111
MFR,42.37422778,-122.8734978
MHT,42.93451639,-71.43705583
MIA,25.79325,-80.29055556
MKE,42.94722222,-87.89658333
MLB,28.10275,-80.64580556
MLI,41.44852639,-90.50753917
MLU,32.51086556,-92.03768778
MOB,30.69141667,-88.24283333
MOT,48.25937778,-101.2803339
MQT,46.353639,-87.395361
MRY,36.5869825,-121.8429478
MSN,43.13985778,-89.33751361
MSO,46.91630556,-114.0905556
MSP,44.88054694,-93.2169225
MSY,29.99338889,-90.25802778
MYR,33.67975,-78.92833333
OAK,37.72129083,-122.2207167
OGG,20.89864972,-156.4304578
OKC,35.39308833,-97.60073389
OMA,41.30251861,-95.89417306
OME,64.51220222,-165.4452458
ONT,34.056,-117.6011944
ORD,41.979595,-87.90446417
ORF,36.89461111,-76.20122222
ORH,42.26733944,-71.87570944
OTZ,66.88467694,-162.5985497
PBI,26.68316194,-80.09559417
PDX,45.58872222,-122.5975
PHL,39.87195278,-75.24114083
PHX,33.43416667,-112.0080556
PIA,40.66424333,-89.69330556
PIT,40.49146583,-80.23287083
PNS,30.47330556,-87.18744444
PSC,46.26468028,-119.1190292
PSG,56.80165194,-132.9452781
PSP,33.82921556,-116.5062531
PVD,41.72399917,-71.42822111
PWM,43.64616667,-70.30875
RAP,44.04532139,-103.0573708
RDU,35.87763889,-78.78747222
RIC,37.50516667,-77.31966667
RNO,39.49857611,-119.7680647
ROA,37.32546833,-79.97542833
ROC,43.11886611,-77.67238389
RST,43.90882639,-92.49798722
RSW,26.53616667,-81.75516667
SAN,32.73355611,-117.1896567
SAT,29.53369444,-98.46977778
SAV,32.12758333,-81.20213889
SBA,34.42621194,-119.8403733
SBN,41.70895361,-86.31847417
SBP,35.23705806,-120.6423931
SCC,70.19475583,-148.4651608
SDF,38.17438889,-85.736
SEA,47.44898194,-122.3093131
SFO,37.61900194,-122.3748433
SGF,37.24432611,-93.38685806
SHV,32.4466275,-93.82559833
SIT,57.04713806,-135.3615983
SJC,37.36186194,-121.9290089
SJT,31.35775,-100.4963056
SJU,18.43941667,-66.00183333
SLC,40.78838778,-111.9777731
SMF,38.69542167,-121.5907669
SNA,33.67565861,-117.8682225
SPS,33.98879611,-98.49189333
SRQ,27.39533333,-82.55411111
STL,38.74768694,-90.35998972
STT,18.33730556,-64.97336111
STX,17.70188889,-64.79855556
SWF,41.50409361,-74.10483833
SYR,43.11118694,-76.10631056
TLH,30.39652778,-84.35033333
TOL,41.58680556,-83.80783333
TPA,27.97547222,-82.53325
TRI,36.47521417,-82.40742056
TUL,36.19837222,-95.88824167
TUS,32.11608333,-110.9410278
TVC,44.74144472,-85.582235
TXK,33.45370806,-93.99102
TYR,32.35413889,-95.40238611
TYS,35.81248722,-83.99285583
VPS,30.48325,-86.5254
WRG,56.48432583,-132.3698242
XNA,36.28186944,-94.30681111
YAK,59.50336056,-139.6602261
