year,WN,AA,DL,UA,US,NW
1990,43802743,117587405,124340956,91482600,115993903,61416901
1991,49380618,118949082,133799079,95962646,106801102,61369018
1992,56533759,127457308,143628569,97057691,103991469,64396895
1993,65704030,124674149,143380402,100646466,100646466,64965287
1994,76738841,109687269,139045958,96126021,102233765,65507023
1995,90128698,99752530,138946028,102102207,91941169,66285651
1996,98868847,94411395,140555445,103274220,86215320,68993554
1997,104280884,95080105,147392508,105508737,86281074,69483085
1998,107338219,92831376,145904537,109025785,83440102,64454242
1999,113107800,95727832,146112684,112574188,84129772,71176511
2000,121061877,98599272,144266949,106726854,90951155,72122672
2001,126246292,92526365,134333667,95926420,85902063,68268895
2002,127291613,114885967,123239833,85125418,70316188,65576621
2003,127777110,102446505,108545298,77764433,77764433,63697568
2004,132620696,99381518,109787176,80057421,56661824,65435992
2005,139878733,100177568,104437028,71029846,56078706,63085136
2006,148589913,96630115,82824713,72991819,44010730,58132126
2007,157978895,95270870,78295383,70844601,49444092,56013237
2008,162294146,90559276,74340011,65291623,63075378,48372691